codigo_aeronave;codigo_ocorrencia;matricula;codigo_operador;equipamento;fabricante;modelo;tipo_motor;quantidade_motores;peso_maximo_decolagem;quantidade_assentos;ano_fabricacao;pais_registro;categoria_registro;categoria_aviacao;origem_voo;destino_voo;fase_operacao;tipo_operacao;nivel_dano;quantidade_fatalidades;dia_extracao
9163;27490;PTVBM;3992;AVI«O;NEIVA INDUSTRIA AERONAUTICA;EMB-712;PIST«O;1;1157;4;1985;BRASIL;TPP;PARTICULAR;****;****;POUSO;PRIVADA;SUBSTANCIAL;0;30/07/2016
9165;27532;PTVRG;4834;AVI«O;NEIVA INDUSTRIA AERONAUTICA;EMB-810D;PIST«O;2;2155;6;1994;BRASIL;TPR;REGULAR;****;****;INDETERMINADA;REGULAR;***;0;30/07/2016
9172;27671;PTMQN;4834;AVI«O;FOKKER;F28MK0100;JATO;2;44450;115;1992;BRASIL;TPR;REGULAR;****;****;SUBIDA;REGULAR;***;0;30/07/2016
9173;27689;PPMPR;3992;HELIC‡PTERO;ROBINSON HELICOPTER;R44;PIST«O;1;1089;4;2000;BRASIL;TPP;PARTICULAR;SSEJ;SBMT;INDETERMINADA;PRIVADA;LEVE;0;30/07/2016
9174;27690;PPGHU;167;AVI«O;AERO BOERO;AB-180;PIST«O;1;844;2;1992;BRASIL;PRI;INSTRUÄ«O;****;****;DECOLAGEM;INSTRUÄ«O;LEVE;0;30/07/2016
9175;27709;PTVKS;644;AVI«O;NEIVA INDUSTRIA AERONAUTICA;EMB-720D;PIST«O;1;1633;7;1989;BRASIL;TPX;TµXI AêREO;****;****;DECOLAGEM;TµXI AêREO;LEVE;0;30/07/2016
9176;27730;PTHLV;160;HELIC‡PTERO;HELIBRAS;HB-350B;TURBOEIXO;1;1950;6;0;BRASIL;PIN;INSTRUÄ«O;****;****;INDETERMINADA;INSTRUÄ«O;***;0;30/07/2016
9178;37180;PTVSX;3992;AVI«O;NEIVA INDUSTRIA AERONAUTICA;EMB-810D;PIST«O;2;2155;6;1998;BRASIL;TPP;PARTICULAR;SSCN;SBPA;CORRIDA AP‡S POUSO;PRIVADA;SUBSTANCIAL;0;30/07/2016
9181;27809;PTNRR;3992;AVI«O;NEIVA INDUSTRIA AERONAUTICA;EMB-711B;PIST«O;1;1248;4;1979;BRASIL;TPP;PARTICULAR;SBJC;****;CORRIDA AP‡S POUSO;PRIVADA;SUBSTANCIAL;0;30/07/2016
9182;27811;PTOUP;3992;AVI«O;CESSNA AIRCRAFT;310Q;PIST«O;2;2404;6;1974;BRASIL;TPP;PARTICULAR;****;****;DECOLAGEM;PRIVADA;DESTRU÷DA;0;30/07/2016
9184;27813;PPPTD;5009;AVI«O;AEROSPATIALE AND ALENIA;ATR-42-320;TURBOêLICE;2;16900;50;1988;BRASIL;TPR;REGULAR;****;****;INDETERMINADA;REGULAR;***;0;30/07/2016
9184;51775;PPPTD;5009;AVI«O;AEROSPATIALE AND ALENIA;ATR-42-320;TURBOêLICE;2;16900;50;1988;BRASIL;TPR;REGULAR;****;****;CRUZEIRO;REGULAR;NENHUM;0;30/07/2016
9185;27834;PTEKA;3279;AVI«O;NEIVA INDUSTRIA AERONAUTICA;EMB-720C;PIST«O;1;1542;7;1976;BRASIL;TPX;TµXI AêREO;SBSL;SNYE;INDETERMINADA;TµXI AêREO;DESTRU÷DA;3;30/07/2016
9186;27852;PPVQG;5106;AVI«O;MCDONNELL DOUGLAS;MD-11;JATO;3;280320;301;1993;BRASIL;TPR;REGULAR;****;****;CORRIDA AP‡S POUSO;REGULAR;SUBSTANCIAL;0;30/07/2016
